Bound State (Ptolemy BOUND): E=-4.143 MeV, kappa=0.43368 fm^-1, L=2, J=2.5, mu=0.948826 AMU
  Bracket V=[70,72] for n=0
  Final V=71.4187 MeV (n=0 node(s))
  BS: maxAmp=0.277105  kappa=0.43368 fm^-1
8.20625  5.527187e-03
8.28750  5.249852e-03
8.36875  4.987440e-03
8.45000  4.739083e-03
8.53125  4.503965e-03
8.61250  4.281324e-03
8.69375  4.070445e-03
8.77500  3.870656e-03
8.85625  3.681330e-03
8.93750  3.501874e-03
9.01875  3.331736e-03
9.10000  3.170395e-03
9.18125  3.017362e-03
9.26250  2.872177e-03
9.34375  2.734409e-03
9.42500  2.603651e-03
9.50625  2.479521e-03
9.58750  2.361659e-03
9.66875  2.249728e-03
9.75000  2.143407e-03
9.83125  2.042397e-03
9.91250  1.946414e-03
9.99375  1.855193e-03
10.07500  1.768480e-03
10.15625  1.686039e-03
10.23750  1.607646e-03
10.31875  1.533089e-03
10.40000  1.462170e-03
10.48125  1.394699e-03
10.56250  1.330500e-03
10.64375  1.269403e-03
10.72500  1.211250e-03
10.80625  1.155890e-03
10.88750  1.103183e-03
10.96875  1.052993e-03
11.05000  1.005193e-03
11.13125  9.596640e-04
11.21250  9.162911e-04
11.29375  8.749670e-04
11.37500  8.355897e-04
11.45625  7.980626e-04
11.53750  7.622942e-04
11.61875  7.281978e-04
11.70000  6.956912e-04
11.78125  6.646966e-04
11.86250  6.351400e-04
11.94375  6.069516e-04
12.02500  5.800648e-04
12.10625  5.544167e-04
12.18750  5.299474e-04
12.26875  5.066002e-04
12.35000  4.843213e-04
12.43125  4.630595e-04
12.51250  4.427663e-04
12.59375  4.233956e-04
12.67500  4.049035e-04
12.75625  3.872485e-04
12.83750  3.703911e-04
12.91875  3.542935e-04
13.00000  3.389202e-04
13.08125  3.242372e-04
13.16250  3.102121e-04
13.24375  2.968144e-04
13.32500  2.840147e-04
13.40625  2.717854e-04
13.48750  2.601000e-04
13.56875  2.489333e-04
13.65000  2.382615e-04
13.73125  2.280618e-04
13.81250  2.183124e-04
13.89375  2.089928e-04
13.97500  2.000833e-04
14.05625  1.915652e-04
14.13750  1.834207e-04
14.21875  1.756327e-04
14.30000  1.681853e-04
14.38125  1.610628e-04
14.46250  1.542507e-04
14.54375  1.477349e-04
14.62500  1.415022e-04
14.70625  1.355398e-04
14.78750  1.298356e-04
14.86875  1.243780e-04
14.95000  1.191561e-04
15.03125  1.141593e-04
15.11250  1.093776e-04
15.19375  1.048015e-04
15.27500  1.004219e-04
15.35625  9.622996e-05
15.43750  9.221751e-05
15.51875  8.837660e-05
15.60000  8.469967e-05
15.68125  8.117952e-05
15.76250  7.780927e-05
15.84375  7.458233e-05
15.92500  7.149245e-05
16.00625  6.853364e-05
16.08750  6.570018e-05
16.16875  6.298660e-05
16.25000  6.038770e-05
16.33125  5.789849e-05
16.41250  5.551423e-05
16.49375  5.323036e-05
16.57500  5.104254e-05
16.65625  4.894664e-05
16.73750  4.693868e-05
16.81875  4.501488e-05
16.90000  4.317163e-05
16.98125  4.140546e-05
17.06250  3.971306e-05
17.14375  3.809129e-05
17.22500  3.653712e-05
17.30625  3.504766e-05
17.38750  3.362016e-05
17.46875  3.225197e-05
17.55000  3.094057e-05
17.63125  2.968355e-05
17.71250  2.847860e-05
17.79375  2.732352e-05
17.87500  2.621619e-05
17.95625  2.515459e-05
18.03750  2.413679e-05
18.11875  2.316095e-05
18.20000  2.222529e-05
18.28125  2.132814e-05
18.36250  2.046785e-05
18.44375  1.964290e-05
18.52500  1.885180e-05
18.60625  1.809312e-05
18.68750  1.736551e-05
18.76875  1.666768e-05
18.85000  1.599838e-05
18.93125  1.535641e-05
19.01250  1.474065e-05
19.09375  1.414999e-05
19.17500  1.358340e-05
19.25625  1.303988e-05
19.33750  1.251846e-05
19.41875  1.201823e-05
19.50000  1.153832e-05
19.58125  1.107788e-05
19.66250  1.063611e-05
19.74375  1.021223e-05
19.82500  9.805510e-06
19.90625  9.415243e-06
19.98750  9.040748e-06
20.06875  8.681377e-06
20.15000  8.336509e-06
20.23125  8.005548e-06
20.31250  7.687922e-06
20.39375  7.383086e-06
20.47500  7.090515e-06
20.55625  6.809707e-06
20.63750  6.540182e-06
20.71875  6.281478e-06
20.80000  6.033153e-06
20.88125  5.794785e-06
20.96250  5.565967e-06
21.04375  5.346310e-06
21.12500  5.135442e-06
21.20625  4.933005e-06
21.28750  4.738657e-06
21.36875  4.552070e-06
21.45000  4.372928e-06
21.53125  4.200930e-06
21.61250  4.035787e-06
21.69375  3.877221e-06
21.77500  3.724966e-06
21.85625  3.578768e-06
