Bound State (Ptolemy BOUND): E=-4.143 MeV, kappa=0.43368 fm^-1, L=2, J=2.5, mu=0.948826 AMU
  Bracket V=[70,72] for n=0
  Final V=71.4187 MeV (n=0 node(s))
  BS: maxAmp=0.277105  kappa=0.43368 fm^-1
13.40625  2.601000e-04
13.48750  2.489333e-04
13.56875  2.382615e-04
13.65000  2.280618e-04
13.73125  2.183124e-04
13.81250  2.089928e-04
13.89375  2.000833e-04
13.97500  1.915652e-04
14.05625  1.834207e-04
14.13750  1.756327e-04
14.21875  1.681853e-04
14.30000  1.610628e-04
14.38125  1.542507e-04
14.46250  1.477349e-04
14.54375  1.415022e-04
14.62500  1.355398e-04
14.70625  1.298356e-04
14.78750  1.243780e-04
14.86875  1.191561e-04
14.95000  1.141593e-04
15.03125  1.093776e-04
15.11250  1.048015e-04
15.19375  1.004219e-04
15.27500  9.622996e-05
15.35625  9.221751e-05
15.43750  8.837660e-05
15.51875  8.469967e-05
15.60000  8.117952e-05
15.68125  7.780927e-05
15.76250  7.458233e-05
15.84375  7.149245e-05
15.92500  6.853364e-05
16.00625  6.570017e-05
16.08750  6.298660e-05
16.16875  6.038770e-05
16.25000  5.789849e-05
16.33125  5.551423e-05
16.41250  5.323036e-05
16.49375  5.104254e-05
16.57500  4.894664e-05
16.65625  4.693868e-05
16.73750  4.501488e-05
16.81875  4.317162e-05
16.90000  4.140545e-05
16.98125  3.971306e-05
17.06250  3.809129e-05
17.14375  3.653712e-05
17.22500  3.504766e-05
17.30625  3.362016e-05
17.38750  3.225197e-05
17.46875  3.094057e-05
17.55000  2.968355e-05
17.63125  2.847860e-05
17.71250  2.732351e-05
17.79375  2.621618e-05
17.87500  2.515458e-05
17.95625  2.413679e-05
18.03750  2.316095e-05
18.11875  2.222529e-05
18.20000  2.132813e-05
18.28125  2.046785e-05
18.36250  1.964290e-05
18.44375  1.885179e-05
18.52500  1.809311e-05
18.60625  1.736551e-05
18.68750  1.666768e-05
18.76875  1.599837e-05
18.85000  1.535641e-05
18.93125  1.474064e-05
19.01250  1.414999e-05
19.09375  1.358340e-05
19.17500  1.303987e-05
19.25625  1.251846e-05
19.33750  1.201823e-05
19.41875  1.153831e-05
19.50000  1.107787e-05
19.58125  1.063610e-05
19.66250  1.021222e-05
19.74375  9.805504e-06
19.82500  9.415236e-06
19.90625  9.040741e-06
19.98750  8.681370e-06
20.06875  8.336502e-06
20.15000  8.005540e-06
20.23125  7.687915e-06
20.31250  7.383078e-06
20.39375  7.090507e-06
20.47500  6.809699e-06
20.55625  6.540173e-06
20.63750  6.281469e-06
20.71875  6.033144e-06
20.80000  5.794775e-06
20.88125  5.565957e-06
20.96250  5.346300e-06
21.04375  5.135431e-06
21.12500  4.932994e-06
21.20625  4.738646e-06
21.28750  4.552058e-06
21.36875  4.372916e-06
21.45000  4.200918e-06
21.53125  4.035774e-06
21.61250  3.877208e-06
21.69375  3.724953e-06
21.77500  3.578754e-06
21.85625  3.438367e-06
21.93750  3.303557e-06
22.01875  3.174099e-06
22.10000  3.049779e-06
22.18125  2.930388e-06
22.26250  2.815729e-06
22.34375  2.705611e-06
22.42500  2.599852e-06
22.50625  2.498277e-06
22.58750  2.400719e-06
22.66875  2.307015e-06
22.75000  2.217013e-06
22.83125  2.130562e-06
22.91250  2.047522e-06
22.99375  1.967757e-06
23.07500  1.891134e-06
23.15625  1.817529e-06
23.23750  1.746821e-06
23.31875  1.678895e-06
23.40000  1.613640e-06
23.48125  1.550950e-06
23.56250  1.490722e-06
23.64375  1.432858e-06
23.72500  1.377265e-06
23.80625  1.323852e-06
23.88750  1.272533e-06
23.96875  1.223224e-06
24.05000  1.175846e-06
24.13125  1.130323e-06
24.21250  1.086580e-06
24.29375  1.044548e-06
24.37500  1.004158e-06
24.45625  9.653465e-07
24.53750  9.280500e-07
24.61875  8.922090e-07
24.70000  8.577660e-07
24.78125  8.246660e-07
24.86250  7.928558e-07
24.94375  7.622848e-07
25.02500  7.329040e-07
25.10625  7.046666e-07
25.18750  6.775277e-07
25.26875  6.514439e-07
25.35000  6.263739e-07
25.43125  6.022778e-07
25.51250  5.791173e-07
25.59375  5.568558e-07
25.67500  5.354580e-07
25.75625  5.148899e-07
25.83750  4.951192e-07
25.91875  4.761145e-07
26.00000  4.578459e-07
26.08125  4.402845e-07
26.16250  4.234027e-07
26.24375  4.071740e-07
26.32500  3.915728e-07
26.40625  3.765746e-07
26.48750  3.621558e-07
26.56875  3.482939e-07
26.65000  3.349671e-07
26.73125  3.221546e-07
26.81250  3.098364e-07
26.89375  2.979931e-07
26.97500  2.866063e-07
27.05625  2.756583e-07
27.13750  2.651319e-07
27.21875  2.550108e-07
27.30000  2.452791e-07
27.38125  2.359219e-07
27.46250  2.269246e-07
27.54375  2.182731e-07
27.62500  2.099541e-07
27.70625  2.019546e-07
27.78750  1.942624e-07
27.86875  1.868654e-07
27.95000  1.797523e-07
28.03125  1.729120e-07
28.11250  1.663341e-07
28.19375  1.600083e-07
28.27500  1.539249e-07
28.35625  1.480745e-07
28.43750  1.424481e-07
28.51875  1.370372e-07
28.60000  1.318333e-07
28.68125  1.268284e-07
28.76250  1.220150e-07
28.84375  1.173856e-07
28.92500  1.129331e-07
29.00625  1.086507e-07
29.08750  1.045318e-07
29.16875  1.005702e-07
29.25000  9.675978e-08
29.33125  9.309476e-08
29.41250  8.956953e-08
29.49375  8.617871e-08
29.57500  8.291715e-08
29.65625  7.977987e-08
29.73750  7.676210e-08
29.81875  7.385925e-08
29.90000  7.106692e-08
29.98125  6.838086e-08
C++ V_sol=71.4187 MeV
C++ maxAmp=0.277105 at r=2.19375 fm
C++ norm=1.06067
